,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,nouadhibou,20.931,20.931,19.0,88,0,5.66,MR,1619562449
340,pokhara,28.2333,28.2333,21.86,21,1,3.42,NP,1619562450
341,hofn,64.2539,64.2539,6.46,72,4,3.22,IS,1619562314
342,nsanje,-16.92,-16.92,21.98,91,35,0.97,MW,1619562182
343,jishou,28.3167,28.3167,14.88,91,71,0.96,CN,1619562451
344,udachnyy,66.4167,66.4167,-13.0,95,48,2.22,RU,1619562253
345,bagdarin,54.4333,54.4333,-6.78,55,100,3.4,RU,1619562451
346,zhanakorgan,43.9098,43.9098,21.36,19,0,0.74,KZ,1619562452
347,zhangye,38.9342,38.9342,6.1,30,13,1.41,CN,1619562452
348,marawi,7.9986,7.9986,23.33,87,37,3.13,PH,1619562453
349,pisco,-13.7,-13.7,20.0,83,0,9.26,PE,1619562176
350,lebu,-37.6167,-37.6167,14.19,94,68,1.03,CL,1619562453
351,severo-kurilsk,50.6789,50.6789,1.06,96,100,8.07,RU,1619562454
352,coahuayana,18.7333,18.7333,31.0,42,40,5.14,MX,1619562454
353,lasa,46.6166,46.6166,13.0,81,75,4.12,IT,1619562378
354,jodhpur,26.2867,26.2867,29.18,24,2,4.7,IN,1619562455
355,chino valley,34.7575,34.7575,11.11,70,90,3.09,US,1619562456
356,wum,6.3833,6.3833,19.63,89,100,2.2,CM,1619562456
357,sao joao da barra,-21.6403,-21.6403,25.0,88,90,2.57,BR,1619562251
358,mariental,-24.6333,-24.6333,23.24,28,80,2.99,NA,1619562457
359,gizo,-8.103,-8.103,27.52,74,99,1.73,SB,1619562457
360,ranfurly,-45.1333,-45.1333,5.56,71,33,2.19,NZ,1619562458
361,mtsamboro,-12.6998,-12.6998,27.0,83,0,2.57,YT,1619562458
362,springhill,33.006,33.006,23.89,83,100,3.9,US,1619562459
363,buraydah,26.326,26.326,29.0,28,40,1.54,SA,1619562357
364,zemetchino,53.4973,53.4973,2.07,79,30,6.42,RU,1619562459
365,constantine,36.365,36.365,13.0,76,40,0.51,DZ,1619562460
366,novyy urgal,51.0736,51.0736,7.51,90,100,2.22,RU,1619562460
367,cajibio,2.6227,2.6227,16.44,96,100,1.26,CO,1619562461
